user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status
kkgwalior,"Gwalior, India",Twitter for Android,,2022-08-17 07:59:26,False,9,"Boycott Remake Culture of Bollywood
#BoycottbollywoodForever
#BoycottVikramVedha
#BoycottPathaan",0,False
KaifMad1,"Amroha, India",Twitter for Android,,2022-08-17 07:58:48,False,245,"#ArjunKapoor on any controversy in #Bollywood exist
#BoycottbollywoodForever https://t.co/BQ7ywTYNH9",2,False
FuntooshApp,Bangalore,Twitter for Android,,2022-08-17 07:58:15,False,346,"Check out this Bollywood dance video on Funtoosh. For more similar videos, download the app now:… https://t.co/Ijhi38qRnb",2,False
HinduGaurava,,Twitter for Android,,2022-08-17 07:58:07,False,26,#BoycottbollywoodForever @arjunk26  sorry 😔😂🤣,0,False
RIH_Bullyweed,India,Twitter Web App,,2022-08-17 07:57:59,False,1534,"@Saffron_Sn The BIGGER they are,
The HARDER they fall!!!

Destruction of Bullyweed is INEVITABLE.
BloodyWood will s… https://t.co/NPAUqFtgr0",0,False
SCherry494,"Hyderabad, India",Twitter for Android,,2022-08-17 07:57:55,False,6,"#BoycottPathanMovie 1000% will boycott @iamsrk himself told he loves if pakistan wins match, also he told he is hal… https://t.co/rrI5QFIWKU",3,False
sahvkr,"Indianola, IA",Twitter for Android,,2022-08-17 07:57:53,False,11,#educatrcensorboard now this is high time censor board platform to be morally responsible for its review also movie… https://t.co/ryqegVGirD,0,False
kesaav108,Bharat 🇮🇳,Twitter for Android,,2022-08-17 07:57:49,False,117,"I mean how does that work! I guess they will beat up the public for not buying tickets.
Or
Hold Kalashnikovs to our… https://t.co/lbgjWyXhfN",0,False
Pappubhaiya9_,,Twitter for Android,,2022-08-17 07:57:41,False,28,"@OpIndia_com Believe me, collective IQ of Sonam and Arjun Kapoor's would be less than RAGA 🤣

#bollywoodnepokids… https://t.co/9huBABf6Kf",0,False
Akhiles80136343,"New Delhi, India",Twitter for Android,,2022-08-17 07:56:52,False,445,"#ArjunKapoor think #BoycottbollywoodForever not work then why not you release movie.
Even biggest actors requesting… https://t.co/5vvmFTEKGn",1,False
DessieAussie,,Twitter for Android,,2022-08-17 07:56:51,True,177,"Arjun kapoor be like: Let me do something that people start boycotting my movies as well, so i can give excuse of b… https://t.co/dv5uPfGznD",1,False
pavanwadikar,Hubli ,Twitter for Android,,2022-08-17 07:56:08,True,2197,@Mystic_VJ Exactly... These people are not apologizing for their mistake till now trying to play victim card only w… https://t.co/5QCmS4eW8r,0,False
PramodY29721516,,Twitter for Android,,2022-08-17 07:56:00,False,24,"@rvcjmovies Because of disrespecting hindu.
Jai shree ram🚩🚩🚩🚩🚩
#BoycottbollywoodForever",0,False
Kuldeep24333046,India,Twitter for Android,,2022-08-17 07:55:29,False,35,"#ArjunKapoor wants Bollywood to unit against #BoycottbollywoodForever and start Boycotting the audience 😂🤣
Beta pah… https://t.co/zFUpfA1ofa",0,False
AtrueIndian5715,,Twitter for Android,,2022-08-17 07:54:35,False,775,"@0019_mr Arrogance to dekho inka?
#BoycottbollywoodForever 
#BoycottVikramVedha",0,False
Queen0Bollywood,India,Twitter Web App,,2022-08-17 07:54:15,False,674,"It like a #Indian2 every #Bollywood Movie has been #Boycutt by Audience, #BoycottbollywoodForever… https://t.co/gZtlDE45Ya",11,False
sonugpta20,India,Twitter for Android,,2022-08-17 07:53:52,False,81,@ankit_samdhyan @GemsOfBollywood @akshaykumar @akshaykumar your pet is showing your true colours and his upbringing… https://t.co/MEPuKX9IWq,0,False
itspravish,India,Twitter Web App,,2022-08-17 07:52:55,False,44,All of us are also to be blamed for making cinema actors larger than life figures. We completely lost it when we un… https://t.co/g2JNlJ0I0z,0,False
leetaeyongbest,,Twitter for Android,,2022-08-17 07:52:22,False,3573,"Twenty Four Scent Perfume - Iridescent 30ml 
💸: Rp159.000
🛒: https://t.co/YLAZgCMvTx

#BetterCallSaul #ไบเบิ้ลบิว… https://t.co/E8LRF2OaJh",0,False
NaliniChandra12,,Twitter for Android,,2022-08-17 07:51:45,False,53,@ETimesLifestyle Still we all will #BoycottbollywoodForever,0,False
veeresh_jantli,"Bengaluru, India",Twitter Web App,,2022-08-17 07:51:39,False,95,"People are crushing your arrogant statements, anti-national statements and sentiments
#ArjunKapoor… https://t.co/s53bJ4QeBk",0,False
MeenakshiPutty,,Twitter for iPhone,,2022-08-17 07:51:38,True,89,@OpIndia_in @arjunk26 really !!! This is what arrogance is this is why #bollywood is doomed .. you are no less .. y… https://t.co/3U6MU7YTx5,0,False
moongazeerr,Multiverse ☄️,Twitter for iPhone,,2022-08-17 07:51:21,False,1246,"Meme Material for the day 😎
Shek Chilli Of Bollywood 🤣
#BoycottbollywoodForever 
#BoycottVikramVedha… https://t.co/I4MskH0gkg",6,False
NaliniChandra12,,Twitter for Android,,2022-08-17 07:51:20,False,53,@ETimesLifestyle This is for big people not common man.  We will #BoycottbollywoodForever BOLLYWOOD🦶🦶🦶🦶🦶,0,False
RaftaKafta06,,Twitter Web App,,2022-08-17 07:50:57,False,10,Gandhi was 1/2 a Bhagat Singh. He would end up eating food half way through while Bhagat Singh went full way till t… https://t.co/dvxxew2XxK,0,False
OneandonlyFire,,Twitter for Android,,2022-08-17 07:50:29,False,373,@Freud_of_Jung One pk #BoycottbollywoodForever,0,False
Aadha_CA,Kolkata,Twitter Web App,,2022-08-17 07:50:29,True,223,India has numerous talents who are waiting to enter Bollywood. But these Khans and Kapoors have dominated and think… https://t.co/U2u7OWZLBA,7,False
teachbhawna,,Twitter for Android,,2022-08-17 07:50:13,False,2058,"@imrudrabha @TheBoycottBolly What Stopping CBI InSSRCase

#BoycottbollywoodForever 
#BoycottBollywood",1,False
sujal42766318,,Twitter for iPhone,,2022-08-17 07:49:40,False,230,"@TheofBollywood @iamsrk @SRKCHENNAIFC @SRKUniverse Time will tell u 
Yes Hindustan awaits for boycotting the same #BoycottbollywoodForever",0,False
